1,70,86,87,83
2,80,85,60,64
3,95,99,55,84
4,79,57,97,80
5,46,46,50,75
6,58,70,67,64
7,96,58,69,68
8,46,57,58,78
9,65,52,85,98
10,81,77,85,78
11,93,96,76,96
12,100,88,78,93
13,48,60,88,85
14,97,60,50,46
15,88,63,84,70
16,59,68,86,84
17,91,55,98,78
18,85,56,50,90
19,45,48,51,89
20,66,47,55,71
21,51,82,82,85
22,50,73,81,45
23,58,91,50,96
24,82,99,71,81
25,81,68,83,72
26,67,66,61,57
27,75,74,86,65
28,98,87,69,86
29,64,88,54,70
30,69,51,59,64
31,92,75,81,78
32,49,82,56,72
33,60,94,97,94
34,58,81,71,55
35,50,97,70,85
36,73,82,54,53
37,93,68,80,60
38,57,56,90,65
39,82,56,55,97
40,54,96,48,84
41,95,93,46,68
42,55,78,74,82
43,60,54,95,90
44,48,54,50,58
45,76,57,54,58
46,50,84,77,83
47,76,54,68,94
48,68,59,46,52
49,74,48,59,85
50,84,76,49,54
51,87,63,48,50
52,80,86,89,64
53,97,92,94,84
54,98,59,60,73
55,66,93,51,90
56,95,76,49,89
57,56,87,90,75
58,66,57,80,94
59,67,95,45,91
60,76,63,85,94
61,65,95,78,76
62,62,83,78,60
63,68,86,83,60
64,71,60,65,89
65,72,57,79,50
66,93,59,69,46
67,61,46,59,68
68,93,63,48,89
69,94,67,57,61
70,79,96,53,80
71,48,90,93,50
72,65,97,61,79
73,50,45,50,90
74,47,51,98,63
75,90,88,92,58
76,57,88,45,50
77,65,100,77,96
78,89,94,72,52
79,68,64,46,55
80,76,71,68,66
81,53,89,87,76
82,72,70,71,55
83,60,71,56,57
84,54,82,86,94
85,83,97,70,60
86,87,51,87,61
87,87,57,77,60
88,65,88,100,90
89,96,85,74,100
90,99,75,65,85
91,67,58,49,47
92,52,70,65,78
93,54,88,46,47
94,59,81,56,54
95,62,59,72,62
96,53,94,91,57
97,45,77,81,64
98,52,73,100,95
99,79,46,78,49
100,86,51,64,67
101,48,73,51,95
102,69,57,97,72
103,77,70,70,80
104,100,93,50,58
105,100,63,86,90
106,82,89,53,91
107,92,94,96,98
108,73,45,91,93
109,60,96,80,89
110,74,48,88,63
111,75,52,89,45
112,88,91,46,53
113,96,77,95,56
114,74,69,82,78
115,68,64,76,61
116,89,47,67,60
117,98,92,67,68
118,70,77,55,88
119,98,51,100,98
120,77,79,89,96
121,51,94,84,50
122,49,82,75,93
123,52,98,55,81
124,50,69,88,99
125,97,78,56,63
126,85,61,45,96
127,52,77,88,97
128,69,82,92,63
129,78,94,54,98
130,63,56,46,71
131,61,61,47,80
132,59,93,76,49
133,94,87,47,62
134,48,61,57,99
135,49,62,56,86
136,47,82,50,49
137,72,57,50,84
138,59,50,90,75
139,45,68,74,72
140,91,93,66,64
141,82,84,97,79
142,72,59,61,100
143,91,57,50,74
144,99,52,46,100
145,96,82,67,74
146,100,66,70,77
147,99,79,78,95
148,50,49,81,82
149,84,98,59,81
150,69,94,90,94
151,75,94,92,58
152,71,95,67,83
153,87,67,77,75
154,72,70,47,62
155,100,95,80,73
156,98,70,88,72
157,81,64,74,46
158,77,45,49,51
159,79,67,93,75
160,93,85,48,48
161,94,61,89,65
162,49,67,65,74
163,49,99,90,45
164,77,95,63,56
165,46,61,49,52
166,64,51,57,93
167,51,97,54,67
168,83,89,45,58
169,94,80,90,60
170,70,51,97,83
171,72,97,88,48
172,62,76,68,89
173,52,87,86,77
174,82,58,48,65
175,83,58,82,52
176,79,92,48,79
177,68,57,95,53
178,47,89,84,55
179,61,84,63,94
180,51,79,99,88
181,94,64,52,67
182,77,95,61,92
183,88,61,53,93
184,60,63,91,92
185,73,70,73,49
186,67,53,84,87
187,66,97,81,82
188,66,89,83,88
189,69,46,95,77
190,56,82,52,79
191,72,57,48,96
192,88,81,69,71
193,90,56,85,90
194,86,73,69,86
195,73,69,99,52
196,92,89,52,72
197,47,67,64,94
198,65,45,85,89
199,53,92,65,79
200,91,55,51,87
201,84,51,74,81
202,68,74,56,69
203,48,91,64,83
204,85,66,50,50
205,80,72,66,82
206,45,77,86,91
207,77,88,99,100
208,81,55,56,56
209,49,61,45,55
210,76,52,90,45
211,83,66,99,56
212,64,75,95,76
213,49,52,92,62
214,65,70,45,97
215,72,58,67,92
216,57,52,51,84
217,60,65,67,98
218,83,93,60,57
219,78,79,88,66
220,66,53,61,57
221,100,82,65,66
222,65,81,69,53
223,62,73,48,58
224,65,77,49,49
225,93,99,79,58
226,81,56,69,94
227,62,54,71,51
228,97,80,69,56
229,95,82,52,81
230,76,56,89,76
231,64,67,50,87
232,93,72,95,72
233,58,65,87,56
234,87,62,61,46
235,70,95,49,84
236,96,56,91,89
237,86,52,100,84
238,91,85,61,86
239,69,66,70,57
240,55,78,48,54
241,81,65,81,67
242,73,53,93,97
243,58,57,60,67
244,70,77,62,71
245,95,61,99,54
246,73,97,48,82
247,79,66,92,50
248,67,61,57,62
249,53,60,93,60
250,76,64,100,71
