1,484,2,2,2
2,216,2,25,17
3,730,4,2,10
4,640,5,15,0
5,503,3,28,13
6,901,2,24,19
7,536,1,26,14
8,860,1,12,1
9,506,1,28,6
10,290,2,24,16
11,137,1,22,18
12,747,4,26,8
13,430,3,23,17
14,863,1,19,1
15,700,2,16,9
16,963,3,22,0
17,407,1,29,6
18,964,5,21,15
19,419,3,25,17
20,232,4,14,16
21,995,2,27,16
22,850,4,4,7
23,608,5,20,14
24,371,5,22,18
25,145,2,30,20
26,578,2,8,6
27,818,2,17,19
28,262,5,19,8
29,942,1,3,3
30,597,1,12,12
31,499,2,24,11
32,266,3,24,20
33,724,2,27,5
34,971,1,19,6
35,950,3,16,12
36,253,3,24,17
37,190,2,29,9
38,608,4,30,0
39,253,5,28,10
40,104,3,13,9
41,733,1,29,5
42,873,5,11,9
43,592,5,1,1
44,457,3,16,17
45,952,4,9,0
46,208,2,28,18
47,969,1,10,3
48,373,5,26,0
49,471,3,19,8
50,798,2,27,5
