1,17,5
2,21,50
3,32,52
4,33,2
5,15,26
6,14,3
7,3,32
8,12,5
9,6,44
10,29,49
11,9,53
12,21,54
13,8,10
14,16,25
15,26,60
16,0,1
17,22,34
18,29,51
19,37,12
20,19,11
21,34,5
22,31,60
23,17,16
24,17,23
25,33,9
26,29,4
27,40,18
28,12,53
29,27,51
30,4,13
31,2,50
32,26,7
33,6,42
34,31,50
35,19,29
36,34,5
37,21,28
38,23,24
39,40,57
40,15,3
41,38,55
42,21,16
43,8,28
44,13,33
45,26,24
46,28,50
47,32,36
48,39,6
49,9,3
50,21,45
51,24,5
52,17,58
53,36,30
54,38,36
55,4,57
56,13,17
57,9,59
58,10,43
59,25,34
60,6,51
61,37,26
62,27,4
63,24,43
64,19,9
65,29,41
66,25,50
67,27,34
68,0,51
69,37,49
70,8,8
71,40,26
72,40,5
73,34,56
74,1,60
75,40,42
76,15,25
77,28,45
78,25,15
79,0,38
80,32,55
81,37,25
82,19,54
83,15,48
84,25,43
85,11,24
86,27,32
87,39,23
88,0,3
89,28,1
90,16,57
91,23,38
92,9,20
93,0,5
94,20,59
95,28,16
96,22,33
97,39,45
98,20,28
99,15,49
100,18,5
101,4,43
102,34,11
103,31,31
104,17,60
105,31,56
106,34,27
107,22,20
108,38,33
109,26,0
110,9,23
111,28,54
112,3,1
113,28,33
114,36,40
115,5,34
116,36,21
117,14,7
118,25,31
119,14,11
120,12,43
121,16,56
122,1,20
123,12,9
124,7,41
125,6,35
126,5,18
127,1,48
128,34,57
129,13,17
130,28,30
131,35,23
132,9,49
133,31,9
134,19,16
135,3,28
136,21,7
137,16,2
138,15,59
139,25,4
140,23,56
141,19,60
142,7,35
143,13,15
144,29,21
145,27,53
146,26,60
147,21,36
148,27,43
149,39,35
150,14,19
151,0,11
152,0,42
153,18,48
154,4,34
155,25,6
156,19,24
157,26,6
158,15,45
159,36,40
160,20,26
161,6,54
162,5,26
163,14,2
164,5,4
165,29,39
166,39,41
167,16,28
168,32,3
169,23,52
170,21,29
171,23,23
172,39,7
173,24,9
174,6,2
175,38,16
176,11,14
177,26,57
178,14,40
179,6,21
180,15,43
181,6,56
182,12,26
183,32,29
184,0,28
185,24,16
186,30,40
187,11,28
188,16,9
189,19,25
190,20,14
191,27,18
192,9,7
193,26,53
194,38,19
195,2,53
196,38,56
197,29,30
198,2,31
199,30,40
200,4,49
201,8,20
202,35,1
203,6,24
204,29,16
205,2,36
206,0,4
207,21,15
208,40,0
209,21,54
210,13,9
211,6,16
212,10,42
213,29,23
214,37,49
215,29,49
216,1,51
217,17,51
218,38,32
219,0,28
220,33,49
221,24,53
222,38,52
223,7,37
224,31,3
225,1,32
226,26,38
227,27,55
228,32,38
229,31,4
230,18,46
231,18,30
232,39,43
233,10,54
234,7,33
235,15,32
236,25,53
237,21,53
238,28,55
239,34,52
240,21,42
241,37,33
242,11,25
243,29,50
244,22,15
245,23,48
246,16,37
247,4,2
248,5,13
249,34,20
250,30,14
